timestamp,protocolo,src_ip,dst_ip,proto_interno,info,tamanho_bytes
2025-11-22 06:29:24,Other,-,-,8,Non-IP frame,179
2025-11-22 06:29:24,Other,-,-,8,Non-IP frame,105
2025-11-22 06:29:24,Other,-,-,8,Non-IP frame,1494
2025-11-22 06:29:24,Other,-,-,8,Non-IP frame,607
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,66
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,66
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,105
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,66
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,60
2025-11-22 06:29:25,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:25,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:25,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:25,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:25,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,164
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,66
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,101
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,46
2025-11-22 06:29:25,Other,-,-,8,Non-IP frame,66
2025-11-22 06:29:25,Other,-,-,56710,Non-IP frame,86
2025-11-22 06:29:25,Other,-,-,56710,Non-IP frame,78
2025-11-22 06:29:26,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:26,Other,-,-,8,Non-IP frame,46
2025-11-22 06:29:26,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:26,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:26,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:26,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:26,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:27,Other,-,-,8,Non-IP frame,77
2025-11-22 06:29:27,Other,-,-,8,Non-IP frame,66
2025-11-22 06:29:27,Other,-,-,8,Non-IP frame,60
2025-11-22 06:29:27,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:27,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:27,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:27,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:27,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,77
2025-11-22 06:29:28,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,144
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,112
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,504
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,97
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,225
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,66
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,112
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,556
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,104
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,66
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,108
2025-11-22 06:29:28,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:28,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:28,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:28,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:28,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:28,Other,-,-,8,Non-IP frame,66
2025-11-22 06:29:29,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:29,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:29,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:29,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:29,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:30,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:31,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:31,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:31,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:31,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:31,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:32,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:33,Other,-,-,8,Non-IP frame,77
2025-11-22 06:29:34,Other,-,-,8,Non-IP frame,77
2025-11-22 06:29:34,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:34,Other,-,-,56710,Non-IP frame,86
2025-11-22 06:29:34,Other,-,-,56710,Non-IP frame,86
2025-11-22 06:29:34,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:34,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:34,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:34,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:34,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:34,Other,-,-,1544,Non-IP frame,60
2025-11-22 06:29:34,Other,-,-,1544,Non-IP frame,42
2025-11-22 06:29:34,Other,-,-,8,Non-IP frame,60
